HEA Phase Dataset v1d,,,,,,,,,,,,,,,,
Alloy_ID,Alloy,Num_of_Elem,VEC,Atom.Size.Diff,Elect.Diff,dHmix,dSmix,,Sythesis_Route Hot-Cold_Working Homog_Temp,,Homog_Time,Anneal_Temp,Anneal_Time,Quench_Proc,Phases,References
Alloy 0043,Hf0.75NbTa0.5Ti1.5Zr1.25,4,4.3,4.916,0.1186,2.36,12.84,AC,CW,-,-,-,-,-,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0044,Hf0.75NbTa0.5Ti1.5Zr1.25,4,4.3,4.916,0.1186,2.36,12.84,AC,CW,-,-,1000,60,-,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0045,Hf0.75NbTa0.5Ti1.5Zr1.25,4,4.3,4.916,0.1186,2.36,12.84,AC,CW,-,-,1000,60,-,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0046,Hf0.75NbTa0.5Ti1.5Zr1.25,4,4.3,4.916,0.1186,2.36,12.84,AC,CW,-,-,-,-,-,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0047,Hf0.75NbTa0.5Ti1.5Zr1.25,4,4.3,4.916,0.1186,2.36,12.84,AC,CW,-,-,-,-,-,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0048,Hf0.75NbTa0.5Ti1.5Zr1.25,4,4.3,4.916,0.1186,2.36,12.84,AC,CW,-,-,-,-,-,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0049,Hf0.75NbTa0.5Ti1.5Zr1.25,4,4.3,4.916,0.1186,2.36,12.84,AC,CW,-,-,-,-,-,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0050,Hf0.75NbTa0.5Ti1.5Zr1.25,4,4.3,4.916,0.1186,2.36,12.84,AC,CW,-,-,-,-,-,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0051,Hf0.75NbTa0.5Ti1.5Zr1.25,4,4.3,4.916,0.1186,2.36,12.84,AC,CW,-,-,-,-,-,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0052,Hf0.75NbTa0.5Ti1.5Zr1.25,4,4.3,4.916,0.1186,2.36,12.84,AC,CW,-,-,1000,60,-,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0053,Hf0.75NbTa0.5Ti1.5Zr1.25,4,4.3,4.916,0.1186,2.36,12.84,AC,CW,-,-,1000,60,-,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0054,Hf0.75NbTa0.5Ti1.5Zr1.25,4,4.3,4.916,0.1186,2.36,12.84,AC,CW,-,-,1000,60,-,BCC_SS,10.1016/j.msea.2017.10.073
Alloy 0055,Hf1.375Nb0.25Ta0.25Ti1.75Zr1.375,5,4.1,4.4955,0.1147,0.98,11.45,AC,CW,-,-,900,30,-,BCC_SS,10.1080/21663831.2016.1221861
Alloy 0056,HfMo0.25NbTaTiZr,6,4.48,5.2727,0.1895,2.4671,14.34,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.matlet.2016.03.133
Alloy 0057,HfMo0.5NbTaTiZr,6,4.55,5.4869,0.2322,2.2479,14.7,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.matlet.2016.03.133
Alloy 0058,HfMo0.5NbTiV0.5,5,4.39,8.126,0.1654,-2.1884,12.65,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.jallcom.2016.10.014
Alloy 0059,HfMo0.5NbTiV0.5,5,4.39,8.126,0.1654,-2.1884,12.65,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.jallcom.2016.10.014
Alloy 0060,HfMo0.5NbTiV0.5,5,4.39,8.126,0.1654,-2.1884,12.65,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.jallcom.2016.10.014
Alloy 0061,HfMo0.75NbTaTiZr,6,4.61,5.6534,0.2621,2.0567,14.86,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.matlet.2016.03.133
Alloy 0062,HfMoNbTiZr,5,4.6,5.06,0.31,-1.6,13.38,AC,-,1100,600,-,-,FC,BCC_SS,10.1016/j.matdes.2015.05.019
Alloy 0063,HfMoNbTiZr,5,4.6,5.06,0.31,-1.6,13.38,AC,-,1100,600,-,-,FC,BCC_SS,10.1016/j.matdes.2015.05.019
Alloy 0064,HfMoNbTiZr,5,4.6,5.06,0.31,-1.6,13.38,AC,-,1100,600,-,-,FC,BCC_SS,10.1016/j.matdes.2015.05.019
Alloy 0065,HfMoNbTiZr,5,4.6,5.06,0.31,-1.6,13.38,AC,-,1100,600,-,-,FC,BCC_SS,10.1016/j.matdes.2015.05.019
Alloy 0066,HfNbTaTiZr,5,4.4,4.01,0.12,2.72,13.38,AC,CW,1100,300,-,-,-,BCC_SS,10.1016/j.actamat.2017.09.035
Alloy 0067,HfNbTaTiZr,5,4.4,4.01,0.12,2.72,13.38,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.jallcom.2014.11.064
Alloy 0068,HfNbTaTiZr,5,4.4,4.01,0.12,2.72,13.38,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.matlet.2016.03.133
Alloy 0069,HfNbTaTiZr,5,4.4,4.01,0.12,2.72,13.38,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.matlet.2016.08.060
Alloy 0070,HfNbTaTiZr,5,4.4,4.01,0.12,2.72,13.38,AC,CW,-,-,-,-,-,BCC_SS,10.1016/j.matlet.2016.08.060
Alloy 0071,HfNbTaTiZr,5,4.4,4.01,0.12,2.72,13.38,AC,CW,1200,360,-,-,-,BCC_SS,10.1016/j.matlet.2016.08.060
Alloy 0072,HfNbTaTiZr,5,4.4,4.01,0.12,2.72,13.38,AC,CW,1050,120,1050,240,-,BCC_SS,10.1016/j.actamat.2017.09.062
Alloy 0073,HfNbTaTiZr,5,4.4,4.01,0.12,2.72,13.38,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.msea.2015.08.024
Alloy 0074,HfNbTaTiZr,5,4.4,4.01,0.12,2.72,13.38,AC,-,-,-,-,-,-,BCC_SS,10.1016/j.matchar.2015.11.018
